Freq	Burst	Degree	Centrality	Sigma	PageRank	Keyword	Author	Year	Title	Source	Vol	Page	Half-life	DOI	ClusterID
4		5	0.00	1.00	0.00	credit defaultswap									
4		13	0.00	1.00	0.00	g32									
4		12	0.00	1.00	0.00	stockmarket									
4		6	0.00	1.00	0.00	overlapping portfolio									
4		0	0.00	1.00	0.00	state regulation									
4		10	0.00	1.00	0.00	business model									
4		1	0.00	1.00	0.00	systemic importance									
4		8	0.00	1.00	0.00	interbank									
4		12	0.00	1.00	0.00	latin america									
4		9	0.00	1.00	0.00	core periphery structure									
4		9	0.00	1.00	0.00	nonparametric estimation									
4		7	0.00	1.00	0.00	risk contribution									
4		5	0.00	1.00	0.00	corporate bond									
4		7	0.00	1.00	0.00	preference									
4		5	0.00	1.00	0.00	return predictability									
4		9	0.00	1.00	0.00	srisk									
4		6	0.00	1.00	0.00	capital flow									
4		5	0.00	1.00	0.00	panel									
3		10	0.00	1.00	0.00	delta covar									
3		4	0.00	1.00	0.00	commonality									
3		10	0.00	1.00	0.00	community structure									
3		4	0.00	1.00	0.00	european stock market									
3		9	0.00	1.00	0.00	e44									
3		5	0.00	1.00	0.00	balance sheet									
3		5	0.00	1.00	0.00	power law									
3		6	0.00	1.00	0.00	insurance industry									
3		3	0.00	1.00	0.00	inequality									
3		8	0.00	1.00	0.00	capitalism									
3		8	0.00	1.00	0.00	c58									
3		5	0.00	1.00	0.00	euro									
3		10	0.00	1.00	0.00	basel									
3		5	0.00	1.00	0.00	capital buffer									
3		6	0.00	1.00	0.00	safe haven									
3		6	0.00	1.00	0.00	core-periphery									
3		5	0.00	1.00	0.00	bankruptcy prediction									
3		9	0.00	1.00	0.00	conventional stock market									
3		4	0.00	1.00	0.00	correlated default									
3		13	0.00	1.00	0.00	market linkage									
3		3	0.00	1.00	0.00	contract									
3		5	0.00	1.00	0.00	hierarchical structure									
3		6	0.00	1.00	0.00	default contagion									
3		5	0.00	1.00	0.00	creditrisk									
3		5	0.00	1.00	0.00	cluster analysis									
3		8	0.00	1.00	0.00	ratio									
3		10	0.00	1.00	0.00	crude oil market									
3		9	0.00	1.00	0.00	compensation									
3		7	0.00	1.00	0.00	depression									
3		10	0.00	1.00	0.00	option									
3		2	0.00	1.00	0.00	bitcoin									
3		4	0.00	1.00	0.00	ccp									
3		3	0.00	1.00	0.00	adoption									
3		6	0.00	1.00	0.00	dynamic correlation									
3		6	0.00	1.00	0.00	emerging stock market									
3		7	0.00	1.00	0.00	contingent claims analysis									
3		7	0.00	1.00	0.00	africa									
3		6	0.00	1.00	0.00	credit spread									
3		13	0.00	1.00	0.00	merton model									
3		5	0.00	1.00	0.00	banking risk									
3		3	0.00	1.00	0.00	challenge									
3		7	0.00	1.00	0.00	corporate yield spread									
3		7	0.00	1.00	0.00	asset pricing									
3		8	0.00	1.00	0.00	distance to default									
3		6	0.00	1.00	0.00	network theory									
3		8	0.00	1.00	0.00	default swap spread									
3		2	0.00	1.00	0.00	central counterparty (ccp)									
3		6	0.00	1.00	0.00	conventional bank									
3		7	0.00	1.00	0.00	energy									
3		5	0.00	1.00	0.00	correlation network									
3		8	0.00	1.00	0.00	conditional value-at-risk									
3		6	0.00	1.00	0.00	investor									
3		2	0.00	1.00	0.00	clearing									
3		8	0.00	1.00	0.00	liberalization									
3		4	0.00	1.00	0.00	emu									
3		4	0.00	1.00	0.00	epidemic model									
3		2	0.00	1.00	0.00	cryptocurrency									
3		1	0.00	1.00	0.00	collateralized debt obligation									
3		4	0.00	1.00	0.00	event									
3		5	0.00	1.00	0.00	bayesian inference									
3		10	0.00	1.00	0.00	oil price shock									
3		3	0.00	1.00	0.00	hungary									
