Freq	Burst	Degree	Centrality	Sigma	PageRank	Keyword	Author	Year	Title	Source	Vol	Page	Half-life	DOI	ClusterID
3		0	0.00	1.00	0.00		ZONGXIN QIAN	2016	<html><b>...</b></html>	SO	0	0	0		
3		2	0.00	1.00	0.00		GANGJIN WANG	2016	<html><b>...</b></html>	SO	0	0	0		
3		1	0.00	1.00	0.00		RANGAN GUPTA	2018	<html><b>...</b></html>	SO	0	0	0		
3		2	0.00	1.00	0.00		LIBIN YANG	2016	<html><b>...</b></html>	SO	0	0	1		
3		2	0.00	1.00	0.00		SAKER SABKHA	2019	<html><b>...</b></html>	SO	0	0	0		
3		2	0.00	1.00	0.00		FRANCESCA BIAGINI	2018	<html><b>...</b></html>	SO	0	0	1		
3		2	0.00	1.00	0.00		JUAN CARLOS REBOREDO	2014	<html><b>...</b></html>	SO	0	0	0		
3		1	0.00	1.00	0.00		PAOLA CERCHIELLO	2016	<html><b>...</b></html>	SO	0	0	1		
3		2	0.00	1.00	0.00		CHI XIE	2016	<html><b>...</b></html>	SO	0	0	0		
3		0	0.00	1.00	0.00		PETR TEPLY	2016	<html><b>...</b></html>	SO	0	0	0		
3		2	0.00	1.00	0.00		GRAHAM BIRD	2017	<html><b>...</b></html>	SO	0	0	0		
3		0	0.00	1.00	0.00		JANNES RAUCH	2016	<html><b>...</b></html>	SO	0	0	1		
3		2	0.00	1.00	0.00		RAMA CONT	2016	<html><b>...</b></html>	SO	0	0	0		
3		0	0.00	1.00	0.00		ABDELKADER DERBALI	2016	<html><b>...</b></html>	SO	0	0	0		
3		2	0.00	1.00	0.00		THOMAS WILLETT	2017	<html><b>...</b></html>	SO	0	0	0		
3		1	0.00	1.00	0.00		ANIL V MISHRA	2018	<html><b>...</b></html>	SO	0	0	0		
3		2	0.00	1.00	0.00		GRZEGORZ HALAJ	2018	<html><b>...</b></html>	SO	0	0	0		
3		1	0.00	1.00	0.00		SEBASTIAN POLEDNA	2016	<html><b>...</b></html>	SO	0	0	1		
3		2	0.00	1.00	0.00		ZAGHUM UMAR	2017	<html><b>...</b></html>	SO	0	0	0		
3		0	0.00	1.00	0.00		PETER SARLIN	2018	<html><b>...</b></html>	SO	0	0	0		
3		4	0.00	1.00	0.00		LAURA BALLESTER	2016	<html><b>...</b></html>	SO	0	0	1		
3		0	0.00	1.00	0.00		SIMONE GIANSANTE	2012	<html><b>...</b></html>	SO	0	0	0		
3		2	0.00	1.00	0.00		IRENA VODENSKA	2016	<html><b>...</b></html>	SO	0	0	0		
3		2	0.00	1.00	0.00		SANG HOON KANG	2016	<html><b>...</b></html>	SO	0	0	1		
3		2	0.00	1.00	0.00		WILLIAM REA	2016	<html><b>...</b></html>	SO	0	0	1		
3		0	0.00	1.00	0.00		FABRIZIO DURANTE	2014	<html><b>...</b></html>	SO	0	0	0		
3		2	0.00	1.00	0.00		KHAMIS HAMED ALYAHYAEE	2018	<html><b>...</b></html>	SO	0	0	0		
3		0	0.00	1.00	0.00		WOLFGANG KARL HAERDLE	2018	<html><b>...</b></html>	SO	0	0	1		
3		0	0.00	1.00	0.00		MASSIMO GUIDOLIN	2018	<html><b>...</b></html>	SO	0	0	1		
3		2	0.00	1.00	0.00		ROBERT ENGLE	2014	<html><b>...</b></html>	SO	0	0	1		
3		2	0.00	1.00	0.00		ALETHEA REA	2016	<html><b>...</b></html>	SO	0	0	1		
3		0	0.00	1.00	0.00		HOSSEIN DASTKHAN	2018	<html><b>...</b></html>	SO	0	0	1		
3		0	0.00	1.00	0.00		PAUL GLASSERMAN	2015	<html><b>...</b></html>	SO	0	0	0		
3		1	0.00	1.00	0.00		SHAEN CORBET	2018	<html><b>...</b></html>	SO	0	0	0		
3		0	0.00	1.00	0.00		SIMON WOLFE	2019	<html><b>...</b></html>	SO	0	0	0		
3		2	0.00	1.00	0.00		WENTI DU	2017	<html><b>...</b></html>	SO	0	0	0		
3		1	0.00	1.00	0.00		AHMED BENSAIDA	2018	<html><b>...</b></html>	SO	0	0	0		
