...1,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
　　固定资产,NA,NA,64.510000000000005,NA,103.17,119.98,394.26,503.56,709.48,869.41,926,1116.32,1169.2
　　无形资产,25.21,61.8,64.709999999999994,51.03,46.41,87.17,87.6,116.31,95.91,93.9,100.7,103.42,95.68
　　递延所得税资产,NA,NA,NA,NA,NA,27.52,59.56,80.84,112.36,184.27,302.89999999999998,379.38,631.09
　　其他资产,NA,NA,117.22,66.17,52.14,84.57,95.13,260.27,213.29,232.19,312.27,566.26,946.87
资产差额(合计平衡项目),4846.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
资产总计,4872.08,6739.96,9128.93,13582.15,17849.77,18158.78,25354.55,37810.69,39489.14,50876.24,64666.12,73072.94,91988.1
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,NA,NA,40.35,23.43,30.21,648.85,675.96,659.83,1143.69,647.96,1183.29,858.62,1527.4
　　向中央银行借款,NA,NA,NA,NA,140.66,NA,NA,NA,NA,NA,NA,221.47,39.99
　　拆入资金,NA,NA,NA,NA,NA,NA,NA,NA,56.71,639.77,70.11,1373.73,194.81
　　卖出回购金融资产款,NA,NA,500,2103.6,3094.1,1655.64,400,2814.24,1100,3527.6,3398.22,5072.2,9449.2800000000007
　　吸收存款,NA,NA,NA,NA,NA,13164.54,20960.990000000002,29977,32231.97,40723.96,50655.97,56790.239999999998,66929.33
NA,NA,NA,NA,NA,NA,15469.03,22036.95,33451.07,NA,NA,NA,NA,NA
　　应付职工薪酬,12.66,19.3,57.17,NA,143.38999999999999,165.08,171.11,169.19,167.19,169.14,172.66,22.83,33.35
　　应交税费,5.69,-5.6,-11.39,78.05,88.33,104.79,108.87,72.33,173.71,249.33,199.59,241.26,228.3
　　应付利息,NA,NA,NA,NA,NA,192.42,140.08000000000001,194.64,256.77,418.94,549.04,680.11,804.78
　　应付债券,NA,NA,NA,NA,NA,400,400,400,400,600,600,600,4713.09
　　递延所得税负债,NA,NA,NA,NA,NA,NA,9.17,8.48,10.89,NA,NA,11.44,51.67
　　其他负债,NA,NA,NA,NA,NA,450.69,648.20000000000005,1224.67,964.01,103.1,1946.84,244.7,441.18
　　负债差额(合计平衡项目),4587.7700000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　负债合计,4606.1099999999997,6430.59,8684,NA,16801.900000000001,16782.009999999998,23514.38,35520.379999999997,36504.949999999997,47079.8,58775.73,66116.600000000006,84413.17
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,235.38,235.38,258.38,500,500,500,500,1000,1000,1000,2498.0700000000002,2498.0700000000002,2498.0700000000002
　　资本公积金,NA,NA,NA,131.68,131.68,131.68,188.67,157.11000000000001,164.37,111.46,540.71,729.37,729.37
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.33,150.16999999999999
　　盈余公积金,13.77,16.66,27.24,66.599999999999994,187.55,178.09,392.21,488.55,732.04,1029.48,1372.55,1720.79,1880.06
　　未分配利润,16.809999999999999,57.33,159.31,174.05,228.65,438.21,566.15,352.49,795.63,1066.46,757.09,1149.58,1226.4000000000001
　　一般风险准备,NA,NA,NA,NA,NA,128.79,193.13,292.16000000000003,292.16000000000003,564.94000000000005,678.21,791.54,1055.17
