"filename", "language", "JSON with Comments", "Python", "JSON", "XML", "R", "comment", "blank", "total"
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/algorithmEntityData_InterBankIlliquidContagionShock.py", "Python", 0, 13, 0, 0, 0, 6, 4, 23
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/algorithmEntityData_InterBankIlliquidRepay.py", "Python", 0, 13, 0, 0, 0, 5, 4, 22
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/algorithmEntityData_InterBankInsolventContagion.py", "Python", 0, 13, 0, 0, 0, 5, 4, 22
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/algorithmEntityData_InterBankInsolventShock.py", "Python", 0, 13, 0, 0, 0, 5, 4, 22
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/modelEntityData_ModelBI0000.py", "Python", 0, 19, 0, 0, 0, 5, 2, 26
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/modelEntityData_ModelBI1111.py", "Python", 0, 22, 0, 0, 0, 6, 2, 30
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/processEntityData_ExBankIlliquid.py", "Python", 0, 23, 0, 0, 0, 5, 2, 30
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/processEntityData_ExBankInsolvent.py", "Python", 0, 23, 0, 0, 0, 6, 3, 32
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/processEntityData_InterBankIlliquid.py", "Python", 0, 25, 0, 0, 0, 7, 3, 35
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/processEntityData_InterBankInsolvent.py", "Python", 0, 24, 0, 0, 0, 3, 3, 30
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/models/__init__.py", "Python", 0, 0, 0, 0, 0, 6, 1, 7
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/tools/fun_tools.py", "Python", 0, -56, 0, 0, 0, -32, -19, -107
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/tools/tools.py", "Python", 0, 91, 0, 0, 0, 82, 22, 195
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/SystemicRisk.code-workspace", "JSON with Comments", 1, 0, 0, 0, 0, 0, 0, 1
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/draft2023-01-01.ipynb", "JSON", 0, 0, 1810, 0, 0, 0, 1, 1811
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/draft2023-01-01.py", "Python", 0, 119, 0, 0, 0, 27, 19, 165
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/draft_20221123.ipynb", "JSON", 0, 0, 655, 0, 0, 0, 1, 656
"Total", "-", 1, 295, 2465, -64, -246, 203, -41, 2613
