id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
5003	"popov, a"	-0.9376	-0.0077	1	99	141	4
5021	"pozzi, f"	0.2158	-0.7904	2	130	292	6
5051	"pritsker, m"	-0.3217	0.2112	4	184	299	6
5053	"propper, m"	0.7271	-0.0291	3	167	308	6
5059	"puhr, c"	0.7654	0.0638	3	137	238	6
5063	"pukthuanthong, k"	-1.0626	-0.1296	1	81	129	5
5065	"puliga, m"	0.9428	-0.4518	2	209	409	7
5104	"rajan, rg"	-0.052	0.2174	5	216	391	9
5133	"ratnovski, l"	-0.6893	0.3527	1	121	226	5
5142	"reboredo, jc"	-0.9257	-0.2961	1	101	286	14
5150	"reinhart, c"	-0.7534	0.3334	1	134	192	3
5151	"reinhart, cm"	-0.4605	0.3836	1	380	1011	28
5163	"resta, m"	-0.6373	-0.4766	1	18	96	4
5171	"riccetti, l"	0.7701	0.3884	5	177	299	5
5174	"richter, nf"	-0.5598	-1.1395	9	37	114	2
5182	"rigobon, r"	-0.6891	-0.1087	1	183	329	10
5186	"ringle, cm"	-0.559	-1.1393	9	37	114	2
5205	"rochet, jc"	0.0153	0.4793	4	574	2450	60
5213	"rodriguez, jc"	-0.9604	-0.0816	1	145	206	6
5214	"rodriguez-moreno, m"	-0.6163	-0.185	1	127	180	6
5226	"rogers, lcg"	0.8183	-0.3256	7	360	1397	42
5244	"rose, ak"	-0.4549	0.3287	1	82	137	4
5252	"ross, sa"	-0.7265	-0.0564	1	158	281	8
5263	"roukny, t"	1.064	-0.2621	2	354	1507	34
5299	"sachs, a"	0.794	0.1325	3	206	418	11
5319	"saldias, m"	-0.5287	-0.356	1	105	136	4
5334	"samuelson, p"	0.2361	1.1482	6	81	122	2
5340	"sandoval, l"	0.1366	-0.6465	2	145	281	7
5346	"santos, eb"	0.406	0.0383	3	120	184	5
5350	"saracco, f"	1.0718	-0.7245	2	85	176	5
5356	"sarlin, p"	-0.5553	-0.4153	1	61	244	10
5359	"sarstedt, m"	-0.5572	-1.1356	9	37	168	3
5362	"saunders, a"	-0.9082	0.1602	1	177	326	9
5388	"schiavo, s"	0.4598	0.2747	5	91	143	4
5412	"schnatz, b"	-0.6348	0.5037	1	53	142	2
