id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
10950	"tahbaz-salehi a., 2013, 18727 nat bur ec res"	-0.6379	0.5269	10	66	93	5
10990	"tarski alfred, 1955, pac j math, v5, p285, doi 10.2140/pjm.1955.5.285"	-0.3391	-0.2183	4	90	141	7
10995	"tasca p, 2014, j financ stabil, v15, p43, doi 10.1016/j.jfs.2014.08.006"	-0.7222	0.2794	1	84	124	7
11021	"tedeschi g, 2012, plos one, v7, doi 10.1371/journal.pone.0052749"	-0.8606	0.1774	1	154	268	9
11026	"temizsoy a, 2015, j econ dyn control, v59, p118, doi 10.1016/j.jedc.2015.07.008"	-1.1116	0.2047	1	96	132	5
11045	"teteryatnikova m, 2014, j econ dyn control, v47, p186, doi 10.1016/j.jedc.2014.08.007"	-0.6512	0.0451	1	145	223	7
11077	"thurner s, 2003, quant financ, v3, p306, doi 10.1088/1469-7688/3/4/307"	-0.7138	0.2579	1	120	204	10
11078	"thurner s, 2012, quant financ, v12, p695, doi 10.1080/14697688.2012.674301"	-0.7338	0.2746	1	116	181	9
11079	"thurner s, 2013, sci rep-uk, v3, doi 10.1038/srep01888"	-0.8505	-0.1224	1	174	366	12
11086	"tibshirani r, 1996, j roy stat soc b met, v58, p267"	0.9418	-0.5571	2	58	81	5
11132	"tonzer l, 2015, j financ stabil, v18, p19, doi 10.1016/j.jfs.2015.02.002"	-0.5038	0.1502	1	115	173	7
11178	"tse ck, 2010, j empir financ, v17, p659, doi 10.1016/j.jempfin.2010.04.008"	-0.3917	-0.6509	1	81	110	5
11234	"upper c, 2004, eur econ rev, v48, p827, doi 10.1016/j.euroecorev.2003.12.009"	-0.2212	0.0656	1	411	2124	87
11237	"upper c, 2007, 234 bis"	-0.366	0.6488	3	70	115	6
11240	"upper c, 2011, j financ stabil, v7, p111, doi 10.1016/j.jfs.2010.12.001"	-0.3341	-0.0594	1	385	2065	87
11288	"van lelyveld iman, 2006, int j cent bank, v2, p99"	-0.3221	0.2316	1	176	340	13
11307	"vanlelyveld i, 2006, int j cent bank, v2, p99"	-0.1116	0.3322	1	146	292	14
11361	"vitali s, 2011, plos one, v6, doi 10.1371/journal.pone.0025995"	-0.3929	-0.3189	1	153	270	12
11424	"wagner w, 2010, j financ intermed, v19, p373, doi 10.1016/j.jfi.2009.07.002"	0.1271	0.2216	3	232	524	30
11425	"wagner w, 2011, j financ, v66, p1141, doi 10.1111/j.1540-6261.2011.01666.x"	-0.0912	0.2105	3	193	363	17
11456	"wang gj, 2018, emerg mark rev, v35, p1, doi 10.1016/j.ememar.2017.12.001"	0.4968	-0.6503	2	59	82	5
11491	"watts dj, 1998, nature, v393, p440, doi 10.1038/30918"	-0.4843	-0.107	1	228	534	22
11492	"watts dj, 2002, p natl acad sci usa, v99, p5766, doi 10.1073/pnas.082090499"	-0.5632	0.1251	1	177	468	27
11502	"weber s, 2017, probab uncertain qua, v2, doi 10.1186/s41546-017-0020-9"	-0.6358	-0.6985	4	71	137	7
11517	"weiss gnf, 2014, j bank financ, v41, p78, doi 10.1016/j.jbankfin.2014.01.001"	0.4797	-0.3369	2	84	145	6
11536	"wells s., 2002, financ stab rev, v13, p175"	-0.6338	0.113	1	111	143	5
11539	"wells s., 2004, 230 bank engl"	-0.4446	0.1389	1	212	483	18
11575	"white h, 1980, econometrica, v48, p817, doi 10.2307/1912934"	0.8895	-0.0437	2	111	134	6
11647	"wong ayt, 2011, emerg mark rev, v12, p432, doi 10.1016/j.ememar.2011.06.004"	1.3372	-0.4786	2	37	44	5
11698	"xu t, 2016, physica a, v463, p131, doi 10.1016/j.physa.2016.07.013"	-0.8778	-0.0495	5	98	131	6
11734	"yellen j.l., 2013, communication"	-0.5867	0.1237	1	157	232	7
11777	"zawadowski a, 2013, rev financ stud, v26, p1291, doi 10.1093/rfs/hht008"	-0.0153	0.4738	3	158	283	12
11791	"zhang by, 2009, rev financ stud, v22, p5099, doi 10.1093/rfs/hhp004"	1.3745	-0.0829	2	82	101	6
11820	"zhou c, 2010, int j cent bank, v6, p205"	-0.091	-0.1866	1	165	226	10
