银行,年份,资产：现金及存放中央银行款项,资产：存放同业和其它金融机构款项,资产：贵金属,资产：拆出资金,资产：交易性金融资产,资产：衍生金融资产,资产：买入返售金融资产,资产：应收利息,资产：发放贷款及垫款,资产：可供出售金融资产,资产：持有至到期投资,资产：长期股权投资,资产：应收款项类投资,资产：固定资产,资产：无形资产,资产：递延所得税资产,资产：投资性房地产,资产：其他资产,资产：资产总计,负债：同业和其它金融机构存放款项,负债：向中央银行借款,负债：拆入资金,负债：衍生金融负债,负债：卖出回购金融资产款,负债：吸收存款,负债：应付职工薪酬,负债：应交税费,负债：应付利息,负债：应付债券,负债：递延所得税负债,负债：预计负债,负债：其他负债,负债：负债差额(特殊报表科目),负债：负债合计,所有者权益：股本,所有者权益：资本公积金,所有者权益：其它综合收益,所有者权益：盈余公积金,所有者权益：未分配利润,所有者权益：一般风险准备,所有者权益：归属于母公司所有者权益合计,所有者权益：少数股东权益,所有者权益：所有者权益合计,所有者权益：负债及股东权益总计,资产差额(特殊报表科目),负债：交易性金融负债,所有者权益：外币报表折算差额,资产：代理业务资产,资产：商誉,资产差额(合计平衡项目),负债：代理业务负债,负债：负债差额(合计平衡项目),所有者权益：其它权益工具,所有者权益：　　其它权益工具：优先股,所有者权益：减：库存股,所有者权益：未确认的投资损失,所有者权益：股东权益差额(特殊报表科目),所有者权益：股权权益差额(合计平衡项目),负债及股东权益差额(特殊报表项目),负债及股东权益差额(合计平衡项目),资产：　　拆出资金,负债：　　向中央银行借款,负债：　　拆入资金,负债：　　卖出回购金融资产款,其它综合收益
上海银行,2014,139983.73000000001,71149.789999999994,NA,37970.9,7990.84,407.19,62320.800000000003,6925.1,472194.36,86051.72,76004.679999999993,20,213792.69,4414.5,532.65,2547.52,NA,5145.72,1187452.2,259647.37,40.299999999999997,24199.73,349.75,43943,724618.13,1661.01,2043.91,12726.01,38460.22,13.55,NA,5336.49,NA,1113093.24,4704,15688.71,744.26,15024.99,24942.91,12865.47,73970.34,388.62,74358.960000000006,1187452.2,NA,53.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上海银行,2015,144057.98000000001,46177.63,NA,72167.759999999995,4614.2,691.28,51042.68,6053.14,521365.25,163955.29,119953.78,18.420000000000002,301803.28999999998,4172.87,579.91,3504.32,NA,8982.68,1449140.49,331338.78000000003,6403.17,30229.75,525.4,47464.95,792679.89,2046.98,2857.29,14766.54,123939.76,51.36,NA,3991,NA,1356306.09,5404,20392.7,1887.02,18402.91,29635.75,16668.11,92390.5,443.9,92834.4,1449140.49,NA,11.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上饶银行,2006,532.25,119.25,NA,NA,NA,NA,NA,5.51,NA,NA,NA,NA,NA,NA,1.74,NA,NA,NA,3609.19,NA,NA,NA,NA,NA,NA,NA,8.57,30.86,NA,NA,NA,NA,NA,3376.91,153.61000000000001,5.78,NA,20.99,27.01,24.9,232.28,NA,232.28,3609.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上饶银行,2007,1021.39,36.909999999999997,NA,NA,NA,NA,NA,8.27,NA,NA,NA,NA,NA,NA,1.65,NA,NA,NA,4723.79,NA,NA,NA,NA,NA,NA,NA,11.96,70.760000000000005,NA,NA,NA,NA,NA,4463.22,165.13,6.4,NA,26.52,35.11,27.41,260.57,NA,260.57,4723.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上饶银行,2009,2061.0500000000002,720.24,NA,NA,NA,NA,NA,16.68,4863.93,NA,2205.4899999999998,NA,NA,200.89,1.17,19.14,NA,120.61,10209.209999999999,NA,NA,NA,NA,900,8155.75,11.33,72.819999999999993,93.72,NA,NA,NA,86.21,NA,9319.82,559.23,71.75,NA,58.64,132.16999999999999,67.599999999999994,889.38,NA,889.38,10209.209999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上饶银行,2010,2308.16,543.1,NA,NA,NA,NA,2031.01,19.41,6837.88,NA,2959.6,NA,NA,239.61,1.03,3.19,NA,141.46,15084.46,7.6,40,NA,NA,750,11360.64,24.95,71.36,84.44,NA,NA,NA,1693.66,NA,14032.66,559.23,71.75,NA,78.5,233.35,83.96,1026.79,25.01,1051.8,15084.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上饶银行,2011,4925.07,1211.8699999999999,NA,NA,NA,NA,709.81,25.6,8588.7999999999993,2261.2199999999998,3815.65,NA,NA,269.08,0.89,9.6,NA,83.97,21901.57,115.37,30,NA,NA,1330,14867.92,40.340000000000003,99.5,130.1,NA,NA,NA,3190.2,NA,19803.419999999998,1086.1400000000001,378.63,NA,108.8,335.78,134.79,2044.14,54,2098.15,21901.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上饶银行,2012,6977.52,1892.65,NA,NA,NA,NA,1342.2,42.91,10775.15,2470.65,1500,NA,5880.52,292.89,6.6,12.73,NA,118.27,31312.09,1383.89,60,NA,NA,1540,21728.01,60.39,80.06,235.25,NA,4.79,NA,2718.06,NA,27810.45,1524.21,787.26,NA,162.09,751.69,210.67,3435.93,65.709999999999994,3501.64,31312.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上饶银行,2013,6693.3,5832.57,NA,NA,NA,NA,1476.33,80.150000000000006,13402.78,2434.8200000000002,NA,NA,7806.44,339.63,127.39,52.74,NA,253.74,38499.89,4995.26,50,NA,NA,723,26306.97,86.79,106.94,334.17,NA,NA,NA,2087.84,NA,34690.959999999999,1524.21,693.44,NA,228.01,811.8,473.95,3731.41,77.510000000000005,3808.92,38499.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上饶银行,2014,6476.28,9682.3799999999992,NA,NA,NA,NA,6163.73,211.63,17424.22,2612.41,NA,NA,10327.48,439.05,136.63,64.5,NA,228.32,53766.63,11409.03,430,NA,NA,1789,31559.19,83.7,126.03,549.89,1500,7.67,NA,1832.37,NA,49286.89,1524.21,767.81,9.3000000000000007,298.20999999999998,883.17,824.21,4306.92,172.82,4479.74,53766.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上饶银行,2015,6168.33,3513.18,NA,NA,NA,NA,2369.6999999999998,222.59,21318.65,3176.05,NA,NA,27903,503.99,133.19999999999999,186.92,NA,263.27,65758.880000000005,11503.75,800,NA,NA,NA,42914.14,76.75,172,574.69000000000005,4650,24.01,NA,186.69,NA,60902.04,1524.21,767.81,72.040000000000006,348.7,937.89,1008.6,4659.25,197.59,4856.84,65758.880000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
东莞农村商业银行,2011,29674.02,7869.98,NA,NA,NA,NA,16475.189999999999,511.17,71371.600000000006,12419.19,8806.8799999999992,55.01,NA,1247.83,128.82,47.24,33.96,NA,148965.49,234.19,NA,NA,NA,7360.69,127246.69,317.98,434.5,883.9,NA,57.23,NA,1778.46,125.38,138439.01999999999,4744.18,59.75,NA,294.64999999999998,3545.74,1690.26,10334.59,191.88,10526.47,148965.49,324.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
东莞农村商业银行,2012,31561.97,3794.76,NA,71.34,NA,NA,13324.95,723.88,82024.84,26840.36,10775.32,55.01,NA,1478.37,122.13,84.03,32.51,166.04,171467.51,606.84,60,450,NA,9866.0400000000009,142284.18,331.53,466.74,1366.86,NA,62.18,NA,2754.33,407.34,158656.03,5218.6000000000004,-32.51,NA,538.19000000000005,5072.37,1700.43,12497.06,314.41000000000003,12811.47,171467.51,411.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
东莞农村商业银行,2013,35487.440000000002,6306.8,NA,NA,NA,NA,14951,831.67,93527.86,25507.58,10028.280000000001,55.01,NA,1661.63,151.34,250.52,31.08,8787.8799999999992,197915.69,4806,100,NA,NA,14308.65,160267.03,429.31,312.08,1838.25,NA,106.59,NA,512.36,362.77,183043.04,5740.45,-531.9,NA,823.62,6798.74,1701.97,14532.88,339.77,14872.65,197915.69,337.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
东莞农村商业银行,2014,37228.03,33475.11,NA,NA,1593.3,NA,5784.3,1258.77,105764.66,33223.5,8973.48,NA,11607,1317.18,146.04,78.400000000000006,29.85,1037.19,241516.79999999999,25296.26,483.45,410,NA,20932.72,172151.33,489.97,399.5,2519.9,NA,203.4,NA,742.68,NA,223629.21,5740.45,NA,127,1141.46,7853.15,2660.79,17522.84,364.75,17887.59,241516.79999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
